tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date,latitude,longitude
2002-425,Barcelona,Barcelona,Clay,56,A,20020422,41.382894,2.177432
1985-425,Barcelona,Barcelona,Clay,64,A,19850923,41.382894,2.177432
2010-425,Barcelona,Barcelona,Clay,56,A,20100419,41.382894,2.177432
1996-425,Barcelona,Barcelona,Clay,56,A,19960415,41.382894,2.177432
1983-425,Barcelona,Barcelona,Clay,64,A,19831003,41.382894,2.177432
2009-425,Barcelona,Barcelona,Clay,56,A,20090420,41.382894,2.177432
1982-425,Barcelona,Barcelona,Clay,64,A,19821004,41.382894,2.177432
1975-278,Barcelona,Barcelona,Clay,64,A,19750407,41.382894,2.177432
2001-425,Barcelona,Barcelona,Clay,56,A,20010423,41.382894,2.177432
1987-425,Barcelona,Barcelona,Clay,56,A,19870921,41.382894,2.177432
2007-425,Barcelona,Barcelona,Clay,56,A,20070423,41.382894,2.177432
1999-425,Barcelona,Barcelona,Clay,56,A,19990412,41.382894,2.177432
1968-425,Barcelona,Barcelona,Clay,64,A,19680607,41.382894,2.177432
1995-425,Barcelona,Barcelona,Clay,56,A,19950410,41.382894,2.177432
2011-425,Barcelona,Barcelona,Clay,56,A,20110418,41.382894,2.177432
2008-425,Barcelona,Barcelona,Clay,56,A,20080428,41.382894,2.177432
1980-425,Barcelona,Barcelona,Clay,64,A,19801006,41.382894,2.177432
2018-0425,Barcelona,Barcelona,Clay,64,A,20180423,41.382894,2.177432
1986-425,Barcelona,Barcelona,Clay,64,A,19860922,41.382894,2.177432
2012-425,Barcelona,Barcelona,Clay,56,A,20120423,41.382894,2.177432
1990-425,Barcelona,Barcelona,Clay,56,A,19900409,41.382894,2.177432
1994-425,Barcelona,Barcelona,Clay,56,A,19940404,41.382894,2.177432
2021-0425,Barcelona,Barcelona,Clay,64,A,20210419,41.382894,2.177432
1978-425,Barcelona,Barcelona,Clay,64,A,19781009,41.382894,2.177432
2017-0425,Barcelona,Barcelona,Clay,64,A,20170424,41.382894,2.177432
1977-425,Barcelona,Barcelona,Clay,64,A,19771017,41.382894,2.177432
2004-425,Barcelona,Barcelona,Clay,56,A,20040426,41.382894,2.177432
1989-425,Barcelona,Barcelona,Clay,56,A,19890918,41.382894,2.177432
1969-425,Barcelona,Barcelona,Clay,64,A,19690512,41.382894,2.177432
2015-425,Barcelona,Barcelona,Clay,48,A,20150420,41.382894,2.177432
2013-425,Barcelona,Barcelona,Clay,48,A,20130422,41.382894,2.177432
2014-425,Barcelona,Barcelona,Clay,48,A,20140421,41.382894,2.177432
1976-278,Barcelona,Barcelona,Clay,64,A,19760404,41.382894,2.177432
1991-425,Barcelona,Barcelona,Clay,56,A,19910408,41.382894,2.177432
